Source,Target,Type,Weight
55,62,Undirected,9
27,62,Undirected,16
30,62,Undirected,15
46,62,Undirected,8
1,60,Undirected,36
1,51,Undirected,7
1,43,Undirected,66
22,51,Undirected,6
31,48,Undirected,5
31,60,Undirected,31
31,51,Undirected,5
29,31,Undirected,7
31,45,Undirected,56
5,24,Undirected,13
24,51,Undirected,4
5,60,Undirected,5
5,51,Undirected,5
5,43,Undirected,10
5,45,Undirected,10
5,37,Undirected,9
6,60,Undirected,44
6,45,Undirected,67
48,51,Undirected,2
37,48,Undirected,1
25,60,Undirected,14
51,60,Undirected,2
14,60,Undirected,37
30,60,Undirected,22
37,60,Undirected,6
33,51,Undirected,4
25,51,Undirected,4
25,45,Undirected,21
9,51,Undirected,8
35,51,Undirected,1
10,51,Undirected,4
29,51,Undirected,1
43,51,Undirected,5
45,51,Undirected,5
37,51,Undirected,2
46,51,Undirected,7
29,37,Undirected,7
1,63,Undirected,23
3,54,Undirected,14
3,56,Undirected,9
3,63,Undirected,13
9,50,Undirected,4
50,63,Undirected,1
4,63,Undirected,15
21,63,Undirected,25
48,54,Undirected,2
48,56,Undirected,2
48,63,Undirected,3
32,54,Undirected,22
32,56,Undirected,9
32,63,Undirected,20
7,63,Undirected,23
6,63,Undirected,24
8,63,Undirected,22
9,54,Undirected,14
9,56,Undirected,7
9,63,Undirected,17
13,54,Undirected,26
14,54,Undirected,18
54,63,Undirected,16
15,63,Undirected,15
11,63,Undirected,1
13,56,Undirected,14
13,63,Undirected,26
14,56,Undirected,9
14,63,Undirected,20
27,63,Undirected,25
56,63,Undirected,6
19,63,Undirected,25
30,63,Undirected,6
1,64,Undirected,4
1,41,Undirected,20
21,64,Undirected,8
4,64,Undirected,8
3,64,Undirected,7
31,64,Undirected,4
31,63,Undirected,23
48,64,Undirected,2
41,48,Undirected,1
32,64,Undirected,7
6,64,Undirected,7
7,64,Undirected,6
8,64,Undirected,6
13,64,Undirected,8
27,64,Undirected,5
14,64,Undirected,6
15,64,Undirected,5
10,64,Undirected,5
41,64,Undirected,1
19,64,Undirected,5
63,64,Undirected,2
46,64,Undirected,1
10,41,Undirected,7
10,63,Undirected,4
41,63,Undirected,2
46,63,Undirected,12
2,38,Undirected,12
2,24,Undirected,13
2,23,Undirected,20
2,41,Undirected,6
2,58,Undirected,7
2,39,Undirected,10
5,34,Undirected,6
34,49,Undirected,14
34,58,Undirected,10
5,41,Undirected,8
41,49,Undirected,7
49,58,Undirected,17
29,41,Undirected,4
29,39,Undirected,8
38,64,Undirected,4
38,65,Undirected,2
4,65,Undirected,2
21,65,Undirected,2
3,65,Undirected,2
50,64,Undirected,2
50,65,Undirected,2
23,64,Undirected,3
23,65,Undirected,1
23,61,Undirected,3
32,65,Undirected,2
49,64,Undirected,3
9,64,Undirected,5
64,65,Undirected,2
61,64,Undirected,2
29,64,Undirected,2
48,65,Undirected,1
13,65,Undirected,2
8,65,Undirected,1
14,65,Undirected,2
14,61,Undirected,3
27,65,Undirected,1
10,65,Undirected,2
10,61,Undirected,3
49,65,Undirected,1
9,65,Undirected,2
9,61,Undirected,2
61,65,Undirected,1
19,65,Undirected,1
29,65,Undirected,1
19,61,Undirected,4
29,61,Undirected,2
38,66,Undirected,1
3,66,Undirected,3
4,66,Undirected,3
21,66,Undirected,4
22,66,Undirected,3
23,57,Undirected,1
23,66,Undirected,2
7,57,Undirected,1
7,66,Undirected,4
6,57,Undirected,1
6,66,Undirected,4
5,57,Undirected,1
5,40,Undirected,5
5,66,Undirected,1
10,57,Undirected,1
15,57,Undirected,1
40,57,Undirected,1
41,57,Undirected,1
51,57,Undirected,1
30,57,Undirected,1
28,57,Undirected,1
57,66,Undirected,1
10,40,Undirected,4
10,66,Undirected,1
15,66,Undirected,3
14,66,Undirected,3
27,40,Undirected,29
27,66,Undirected,4
40,51,Undirected,2
28,40,Undirected,7
40,66,Undirected,1
41,51,Undirected,1
41,66,Undirected,1
28,51,Undirected,2
51,66,Undirected,1
13,66,Undirected,4
19,66,Undirected,4
43,66,Undirected,2
30,66,Undirected,3
28,66,Undirected,2
38,53,Undirected,3
38,67,Undirected,16
3,53,Undirected,7
3,67,Undirected,31
31,67,Undirected,28
4,67,Undirected,29
21,67,Undirected,45
34,50,Undirected,2
35,50,Undirected,1
50,67,Undirected,1
40,50,Undirected,2
45,50,Undirected,2
23,53,Undirected,6
23,67,Undirected,36
23,45,Undirected,44
7,67,Undirected,45
6,67,Undirected,43
5,67,Undirected,7
34,53,Undirected,6
34,67,Undirected,12
32,53,Undirected,9
32,67,Undirected,37
13,53,Undirected,11
25,53,Undirected,4
53,58,Undirected,6
35,53,Undirected,1
53,67,Undirected,4
40,53,Undirected,1
45,53,Undirected,7
8,67,Undirected,42
13,67,Undirected,42
25,67,Undirected,14
35,58,Undirected,2
58,67,Undirected,13
40,58,Undirected,8
45,58,Undirected,25
35,67,Undirected,2
35,40,Undirected,1
40,67,Undirected,7
19,67,Undirected,41
45,67,Undirected,16
30,67,Undirected,30
40,45,Undirected,11
31,59,Undirected,2
31,61,Undirected,1
6,61,Undirected,3
14,59,Undirected,2
43,59,Undirected,2
43,49,Undirected,29
43,61,Undirected,1
22,54,Undirected,17
22,63,Undirected,13
33,63,Undirected,3
5,63,Undirected,3
43,54,Undirected,13
43,63,Undirected,11
37,50,Undirected,1
33,64,Undirected,3
33,65,Undirected,1
6,65,Undirected,1
59,64,Undirected,1
39,64,Undirected,4
37,64,Undirected,2
15,65,Undirected,1
59,65,Undirected,1
9,59,Undirected,1
39,59,Undirected,1
37,59,Undirected,1
39,65,Undirected,1
37,65,Undirected,1
9,39,Undirected,28
2,31,Undirected,11
26,31,Undirected,1
17,31,Undirected,32
2,42,Undirected,2
2,26,Undirected,1
6,26,Undirected,2
33,42,Undirected,2
26,33,Undirected,1
17,33,Undirected,5
10,42,Undirected,1
10,26,Undirected,1
27,42,Undirected,20
25,42,Undirected,5
26,42,Undirected,1
17,42,Undirected,14
42,45,Undirected,9
42,46,Undirected,21
26,45,Undirected,2
26,46,Undirected,1
17,45,Undirected,22
31,62,Undirected,15
34,59,Undirected,1
34,62,Undirected,3
34,55,Undirected,6
6,62,Undirected,17
43,62,Undirected,6
19,62,Undirected,18
43,55,Undirected,16
36,38,Undirected,4
2,43,Undirected,10
17,32,Undirected,32
6,36,Undirected,9
24,36,Undirected,3
9,41,Undirected,16
16,27,Undirected,6
41,45,Undirected,12
36,41,Undirected,1
17,41,Undirected,9
16,45,Undirected,6
36,43,Undirected,5
17,43,Undirected,33
17,36,Undirected,4
16,36,Undirected,2
16,46,Undirected,5
38,68,Undirected,3
3,68,Undirected,10
4,68,Undirected,10
21,68,Undirected,12
22,67,Undirected,34
22,61,Undirected,1
22,68,Undirected,7
6,68,Undirected,11
24,67,Undirected,26
24,68,Undirected,6
7,68,Undirected,9
5,61,Undirected,1
5,68,Undirected,2
23,68,Undirected,8
32,68,Undirected,8
10,67,Undirected,9
27,67,Undirected,43
14,67,Undirected,32
12,67,Undirected,7
41,67,Undirected,7
61,67,Undirected,1
67,68,Undirected,3
16,67,Undirected,1
29,67,Undirected,5
10,68,Undirected,1
13,68,Undirected,12
27,68,Undirected,11
25,61,Undirected,1
25,68,Undirected,6
14,68,Undirected,10
8,68,Undirected,9
12,61,Undirected,1
12,68,Undirected,3
12,29,Undirected,1
41,61,Undirected,1
41,68,Undirected,1
61,68,Undirected,1
16,61,Undirected,1
16,68,Undirected,2
29,68,Undirected,1
19,68,Undirected,9
30,68,Undirected,9
16,29,Undirected,1
38,69,Undirected,1
21,69,Undirected,1
4,69,Undirected,1
3,69,Undirected,1
50,69,Undirected,1
39,48,Undirected,2
48,69,Undirected,1
33,69,Undirected,1
32,69,Undirected,1
27,69,Undirected,1
39,51,Undirected,2
39,69,Undirected,1
25,69,Undirected,1
13,69,Undirected,1
8,69,Undirected,1
51,69,Undirected,1
10,69,Undirected,1
9,69,Undirected,1
19,69,Undirected,1
35,41,Undirected,3
1,70,Undirected,4
3,70,Undirected,1
4,70,Undirected,1
21,70,Undirected,4
31,70,Undirected,4
23,63,Undirected,18
23,70,Undirected,4
6,70,Undirected,4
33,70,Undirected,1
32,70,Undirected,3
10,70,Undirected,1
8,70,Undirected,4
9,70,Undirected,4
12,63,Undirected,3
12,70,Undirected,1
13,70,Undirected,4
25,63,Undirected,8
25,70,Undirected,1
14,70,Undirected,4
27,70,Undirected,4
19,70,Undirected,4
45,63,Undirected,12
45,70,Undirected,3
63,70,Undirected,4
38,71,Undirected,2
38,56,Undirected,6
3,71,Undirected,2
21,71,Undirected,2
4,71,Undirected,2
31,71,Undirected,1
48,71,Undirected,1
32,71,Undirected,2
7,71,Undirected,2
23,71,Undirected,2
23,56,Undirected,9
5,71,Undirected,1
39,71,Undirected,2
8,71,Undirected,1
25,71,Undirected,1
25,56,Undirected,6
58,71,Undirected,1
56,58,Undirected,3
13,71,Undirected,2
55,71,Undirected,1
49,71,Undirected,2
10,71,Undirected,1
30,71,Undirected,2
29,71,Undirected,1
56,71,Undirected,1
46,71,Undirected,1
29,55,Undirected,3
29,56,Undirected,2
46,56,Undirected,6
2,64,Undirected,2
2,60,Undirected,4
2,67,Undirected,4
24,64,Undirected,2
60,64,Undirected,1
64,67,Undirected,2
11,64,Undirected,2
45,64,Undirected,3
33,67,Undirected,6
49,60,Undirected,15
15,60,Undirected,34
60,67,Undirected,13
11,60,Undirected,13
9,67,Undirected,17
49,67,Undirected,15
45,49,Undirected,11
15,67,Undirected,33
11,67,Undirected,19
38,72,Undirected,4
38,73,Undirected,3
4,72,Undirected,4
4,73,Undirected,3
22,55,Undirected,19
22,72,Undirected,10
22,73,Undirected,2
21,72,Undirected,11
21,73,Undirected,3
32,72,Undirected,12
32,73,Undirected,2
48,72,Undirected,1
48,73,Undirected,1
7,72,Undirected,10
7,73,Undirected,3
15,72,Undirected,11
15,73,Undirected,1
13,72,Undirected,11
13,73,Undirected,2
25,72,Undirected,3
25,73,Undirected,2
27,72,Undirected,11
27,73,Undirected,3
14,72,Undirected,9
14,73,Undirected,2
8,72,Undirected,12
8,73,Undirected,3
17,55,Undirected,8
55,72,Undirected,1
55,73,Undirected,1
17,72,Undirected,3
17,73,Undirected,2
28,72,Undirected,3
28,73,Undirected,2
46,72,Undirected,9
46,73,Undirected,3
72,73,Undirected,1
1,58,Undirected,34
43,58,Undirected,26
1,67,Undirected,31
35,64,Undirected,2
30,64,Undirected,3
35,39,Undirected,5
39,45,Undirected,19
17,39,Undirected,14
17,35,Undirected,1
17,60,Undirected,15
17,49,Undirected,10
38,74,Undirected,2
3,74,Undirected,7
4,74,Undirected,7
21,74,Undirected,18
31,68,Undirected,6
31,74,Undirected,14
6,74,Undirected,16
7,74,Undirected,16
23,74,Undirected,16
13,74,Undirected,18
27,74,Undirected,17
39,67,Undirected,16
39,68,Undirected,7
39,74,Undirected,6
43,67,Undirected,22
67,74,Undirected,8
45,68,Undirected,5
43,68,Undirected,4
68,74,Undirected,2
12,74,Undirected,4
8,74,Undirected,18
45,74,Undirected,7
30,74,Undirected,7
43,74,Undirected,7
19,74,Undirected,17
31,44,Undirected,9
23,44,Undirected,9
23,54,Undirected,21
6,44,Undirected,10
44,54,Undirected,1
44,55,Undirected,2
11,44,Undirected,8
35,44,Undirected,1
39,44,Undirected,3
44,56,Undirected,1
35,54,Undirected,1
35,55,Undirected,1
35,56,Undirected,1
1,40,Undirected,27
1,52,Undirected,11
33,40,Undirected,3
33,52,Undirected,1
34,52,Undirected,3
40,48,Undirected,1
48,52,Undirected,1
40,52,Undirected,2
11,52,Undirected,4
45,52,Undirected,5
1,75,Undirected,11
1,76,Undirected,4
4,75,Undirected,7
4,76,Undirected,3
21,75,Undirected,12
21,76,Undirected,4
31,52,Undirected,7
31,75,Undirected,11
31,76,Undirected,2
2,52,Undirected,2
2,51,Undirected,1
2,75,Undirected,2
2,76,Undirected,1
3,75,Undirected,6
3,76,Undirected,3
23,60,Undirected,30
52,60,Undirected,5
58,60,Undirected,11
60,75,Undirected,4
60,76,Undirected,1
5,52,Undirected,2
5,75,Undirected,5
5,76,Undirected,3
23,75,Undirected,8
23,76,Undirected,2
7,75,Undirected,11
7,76,Undirected,4
6,75,Undirected,11
6,76,Undirected,3
24,52,Undirected,7
24,75,Undirected,6
24,76,Undirected,3
32,75,Undirected,8
32,76,Undirected,4
52,58,Undirected,5
9,52,Undirected,6
52,75,Undirected,1
43,52,Undirected,6
46,52,Undirected,8
52,76,Undirected,1
9,58,Undirected,21
51,58,Undirected,4
58,75,Undirected,6
58,76,Undirected,2
9,75,Undirected,5
9,76,Undirected,3
51,75,Undirected,3
51,76,Undirected,2
13,75,Undirected,13
13,76,Undirected,4
14,75,Undirected,9
14,76,Undirected,4
27,75,Undirected,12
27,76,Undirected,3
15,75,Undirected,8
15,76,Undirected,4
19,75,Undirected,13
45,75,Undirected,8
43,75,Undirected,8
30,75,Undirected,5
46,75,Undirected,9
75,76,Undirected,1
19,76,Undirected,4
45,76,Undirected,2
43,76,Undirected,2
30,76,Undirected,3
46,76,Undirected,3
38,77,Undirected,3
22,53,Undirected,11
22,77,Undirected,4
4,77,Undirected,4
3,77,Undirected,3
3,72,Undirected,5
23,77,Undirected,2
23,72,Undirected,8
32,77,Undirected,3
7,77,Undirected,4
6,77,Undirected,2
6,72,Undirected,8
24,53,Undirected,6
24,77,Undirected,4
24,72,Undirected,6
34,77,Undirected,1
34,72,Undirected,1
53,77,Undirected,1
29,53,Undirected,2
46,53,Undirected,7
53,72,Undirected,1
10,77,Undirected,1
10,72,Undirected,2
27,77,Undirected,3
11,77,Undirected,2
11,72,Undirected,4
8,77,Undirected,3
67,77,Undirected,2
15,77,Undirected,4
19,77,Undirected,4
29,77,Undirected,2
30,77,Undirected,4
46,77,Undirected,4
72,77,Undirected,1
46,67,Undirected,26
67,72,Undirected,5
19,72,Undirected,10
29,72,Undirected,2
30,72,Undirected,4
2,61,Undirected,1
34,64,Undirected,2
34,61,Undirected,1
39,61,Undirected,1
35,61,Undirected,1
26,32,Undirected,1
26,60,Undirected,1
39,60,Undirected,18
15,26,Undirected,1
26,39,Undirected,1
38,78,Undirected,2
21,78,Undirected,3
3,78,Undirected,2
31,78,Undirected,3
22,62,Undirected,9
22,36,Undirected,5
22,78,Undirected,3
32,78,Undirected,3
23,62,Undirected,13
23,78,Undirected,2
6,78,Undirected,3
33,78,Undirected,1
11,62,Undirected,7
14,62,Undirected,15
62,67,Undirected,4
36,62,Undirected,3
62,78,Undirected,2
11,36,Undirected,3
11,78,Undirected,2
27,78,Undirected,3
15,78,Undirected,3
14,78,Undirected,2
36,67,Undirected,1
67,78,Undirected,1
13,78,Undirected,3
30,78,Undirected,2
19,78,Undirected,3
36,78,Undirected,1
46,78,Undirected,2
12,60,Undirected,6
34,68,Undirected,3
15,68,Undirected,5
11,68,Undirected,4
35,68,Undirected,1
28,68,Undirected,2
1,74,Undirected,16
22,74,Undirected,13
60,74,Undirected,6
10,74,Undirected,2
46,74,Undirected,9
5,36,Undirected,2
16,33,Undirected,1
17,37,Undirected,6
24,44,Undirected,3
5,64,Undirected,1
5,44,Undirected,1
44,64,Undirected,1
55,64,Undirected,2
29,44,Undirected,1
9,55,Undirected,20
45,55,Undirected,17
2,55,Undirected,6
2,54,Undirected,7
2,63,Undirected,6
24,54,Undirected,11
24,63,Undirected,11
55,63,Undirected,17
54,58,Undirected,10
45,54,Undirected,15
46,54,Undirected,14
58,63,Undirected,5
22,49,Undirected,30
34,74,Undirected,5
32,74,Undirected,14
24,74,Undirected,9
9,74,Undirected,7
15,74,Undirected,13
49,74,Undirected,11
37,49,Undirected,10
37,67,Undirected,10
37,74,Undirected,3
1,68,Undirected,9
9,68,Undirected,5
55,68,Undirected,1
63,68,Undirected,1
1,62,Undirected,9
1,79,Undirected,1
1,80,Undirected,1
3,79,Undirected,1
3,80,Undirected,2
4,79,Undirected,1
4,80,Undirected,4
21,79,Undirected,1
21,80,Undirected,4
31,79,Undirected,1
31,80,Undirected,3
7,79,Undirected,1
7,80,Undirected,3
6,79,Undirected,1
6,80,Undirected,4
24,79,Undirected,1
24,80,Undirected,2
32,79,Undirected,1
32,80,Undirected,3
5,62,Undirected,3
5,79,Undirected,1
5,80,Undirected,1
36,55,Undirected,2
55,79,Undirected,1
55,80,Undirected,3
9,62,Undirected,7
9,79,Undirected,1
9,80,Undirected,3
10,62,Undirected,3
10,79,Undirected,1
10,80,Undirected,1
39,62,Undirected,8
36,39,Undirected,1
39,63,Undirected,6
39,79,Undirected,1
39,80,Undirected,2
13,79,Undirected,1
13,80,Undirected,4
25,62,Undirected,6
25,79,Undirected,1
25,80,Undirected,4
27,79,Undirected,1
27,80,Undirected,2
62,63,Undirected,5
62,79,Undirected,1
62,80,Undirected,3
37,62,Undirected,7
36,63,Undirected,2
36,79,Undirected,1
36,80,Undirected,1
63,79,Undirected,1
63,80,Undirected,2
37,63,Undirected,2
43,79,Undirected,1
30,79,Undirected,1
19,79,Undirected,1
79,80,Undirected,1
37,79,Undirected,1
46,79,Undirected,1
43,80,Undirected,3
30,80,Undirected,4
19,80,Undirected,4
37,80,Undirected,2
46,80,Undirected,2
62,64,Undirected,1
54,64,Undirected,1
54,62,Undirected,5
45,62,Undirected,6
38,75,Undirected,2
22,75,Undirected,8
33,75,Undirected,3
40,60,Undirected,11
8,75,Undirected,9
25,75,Undirected,2
39,75,Undirected,3
49,75,Undirected,5
40,75,Undirected,2
29,75,Undirected,1
40,49,Undirected,8
29,40,Undirected,2
40,46,Undirected,26
22,76,Undirected,3
10,76,Undirected,2
25,76,Undirected,2
28,67,Undirected,7
67,76,Undirected,2
41,76,Undirected,2
28,76,Undirected,2
29,76,Undirected,2
37,76,Undirected,2
1,66,Undirected,3
60,66,Undirected,1
24,66,Undirected,2
8,66,Undirected,3
9,66,Undirected,3
11,66,Undirected,1
35,66,Undirected,1
25,66,Undirected,2
45,66,Undirected,1
46,66,Undirected,2
1,72,Undirected,8
2,22,Undirected,4
20,22,Undirected,5
20,21,Undirected,5
2,72,Undirected,2
20,31,Undirected,5
31,72,Undirected,9
33,58,Undirected,3
20,33,Undirected,1
33,72,Undirected,1
20,32,Undirected,3
20,23,Undirected,2
20,25,Undirected,1
20,39,Undirected,1
39,72,Undirected,2
11,58,Undirected,7
20,27,Undirected,5
9,72,Undirected,4
20,58,Undirected,3
58,72,Undirected,4
20,45,Undirected,4
20,43,Undirected,2
20,28,Undirected,1
20,29,Undirected,1
20,30,Undirected,1
20,46,Undirected,4
20,72,Undirected,2
20,37,Undirected,1
45,72,Undirected,7
43,72,Undirected,5
37,72,Undirected,4
60,68,Undirected,3
17,68,Undirected,2
46,68,Undirected,5
5,47,Undirected,1
5,42,Undirected,1
33,41,Undirected,3
38,54,Undirected,6
38,63,Undirected,3
38,80,Undirected,3
2,56,Undirected,3
2,80,Undirected,2
24,56,Undirected,5
23,80,Undirected,3
34,54,Undirected,3
34,63,Undirected,1
34,56,Undirected,3
34,80,Undirected,1
8,80,Undirected,2
41,54,Undirected,1
25,54,Undirected,8
54,80,Undirected,2
28,54,Undirected,3
41,56,Undirected,2
41,80,Undirected,2
14,80,Undirected,3
45,56,Undirected,3
45,80,Undirected,2
28,63,Undirected,2
56,80,Undirected,2
28,56,Undirected,2
28,80,Undirected,2
41,62,Undirected,4
28,62,Undirected,4
22,52,Undirected,8
12,52,Undirected,1
39,52,Undirected,4
52,54,Undirected,2
28,52,Undirected,4
16,52,Undirected,1
37,52,Undirected,2
16,54,Undirected,1
37,54,Undirected,6
16,28,Undirected,4
22,42,Undirected,17
17,40,Undirected,12
9,40,Undirected,10
41,75,Undirected,1
12,75,Undirected,1
10,75,Undirected,2
67,75,Undirected,3
28,75,Undirected,1
25,52,Undirected,6
52,67,Undirected,6
29,52,Undirected,2
17,52,Undirected,3
17,67,Undirected,10
22,56,Undirected,8
58,62,Undirected,5
17,54,Undirected,5
56,62,Undirected,3
17,62,Undirected,3
17,56,Undirected,4
54,67,Undirected,5
56,67,Undirected,2
37,56,Undirected,3
17,34,Undirected,8
10,52,Undirected,2
9,53,Undirected,8
14,53,Undirected,6
17,53,Undirected,2
53,63,Undirected,5
37,53,Undirected,3
29,54,Undirected,1
17,63,Undirected,4
29,63,Undirected,1
1,81,Undirected,1
1,82,Undirected,1
1,83,Undirected,1
1,84,Undirected,1
1,85,Undirected,3
21,81,Undirected,2
21,82,Undirected,1
21,83,Undirected,1
21,84,Undirected,1
21,85,Undirected,4
81,82,Undirected,1
31,81,Undirected,1
81,83,Undirected,1
3,81,Undirected,1
81,84,Undirected,1
23,81,Undirected,2
7,81,Undirected,2
6,81,Undirected,2
5,81,Undirected,1
14,81,Undirected,2
15,81,Undirected,2
55,81,Undirected,2
8,81,Undirected,1
9,81,Undirected,1
58,81,Undirected,1
13,81,Undirected,2
27,81,Undirected,1
62,81,Undirected,2
67,81,Undirected,1
75,81,Undirected,1
54,81,Undirected,2
39,81,Undirected,1
51,81,Undirected,1
10,81,Undirected,1
19,81,Undirected,2
45,81,Undirected,1
46,81,Undirected,1
81,85,Undirected,1
37,81,Undirected,2
31,82,Undirected,1
82,83,Undirected,1
3,82,Undirected,1
82,84,Undirected,1
23,82,Undirected,1
7,82,Undirected,1
6,82,Undirected,1
5,82,Undirected,1
14,82,Undirected,1
15,82,Undirected,1
55,82,Undirected,1
8,82,Undirected,1
9,82,Undirected,1
58,82,Undirected,1
13,82,Undirected,1
27,82,Undirected,1
62,82,Undirected,1
67,82,Undirected,1
75,82,Undirected,1
54,82,Undirected,1
39,82,Undirected,1
51,82,Undirected,1
10,82,Undirected,1
19,82,Undirected,1
45,82,Undirected,1
46,82,Undirected,1
82,85,Undirected,1
37,82,Undirected,1
31,83,Undirected,1
31,84,Undirected,1
31,85,Undirected,3
3,83,Undirected,1
83,84,Undirected,1
23,83,Undirected,1
7,83,Undirected,1
6,83,Undirected,1
5,83,Undirected,1
14,83,Undirected,1
15,83,Undirected,1
55,83,Undirected,1
8,83,Undirected,1
9,83,Undirected,1
58,83,Undirected,1
13,83,Undirected,1
27,83,Undirected,1
62,83,Undirected,1
67,83,Undirected,1
75,83,Undirected,1
54,83,Undirected,1
39,83,Undirected,1
51,83,Undirected,1
10,83,Undirected,1
19,83,Undirected,1
45,83,Undirected,1
46,83,Undirected,1
83,85,Undirected,1
37,83,Undirected,1
3,84,Undirected,1
3,85,Undirected,1
23,84,Undirected,1
7,84,Undirected,1
6,84,Undirected,1
5,84,Undirected,1
14,84,Undirected,1
15,84,Undirected,1
55,84,Undirected,1
8,84,Undirected,1
9,84,Undirected,1
58,84,Undirected,1
13,84,Undirected,1
27,84,Undirected,1
62,84,Undirected,1
67,84,Undirected,1
75,84,Undirected,1
54,84,Undirected,1
39,84,Undirected,1
51,84,Undirected,1
10,84,Undirected,1
19,84,Undirected,1
45,84,Undirected,1
46,84,Undirected,1
84,85,Undirected,1
37,84,Undirected,1
23,85,Undirected,3
7,85,Undirected,4
6,85,Undirected,3
5,85,Undirected,1
14,85,Undirected,3
15,85,Undirected,4
55,67,Undirected,4
55,75,Undirected,1
51,55,Undirected,1
55,85,Undirected,1
8,85,Undirected,4
9,85,Undirected,3
58,85,Undirected,4
13,85,Undirected,2
27,85,Undirected,4
62,75,Undirected,1
51,62,Undirected,1
62,85,Undirected,1
51,67,Undirected,1
67,85,Undirected,2
54,75,Undirected,2
75,85,Undirected,1
37,75,Undirected,3
51,54,Undirected,1
54,85,Undirected,2
39,85,Undirected,1
51,85,Undirected,1
10,85,Undirected,1
19,85,Undirected,4
45,85,Undirected,2
46,85,Undirected,4
37,85,Undirected,1
21,77,Undirected,3
60,77,Undirected,1
13,77,Undirected,3
25,77,Undirected,2
14,77,Undirected,3
28,77,Undirected,2
45,77,Undirected,2
43,77,Undirected,2
17,77,Undirected,1
35,62,Undirected,1
14,74,Undirected,13
25,74,Undirected,3
17,74,Undirected,3
42,55,Undirected,2
42,54,Undirected,1
42,63,Undirected,2
33,68,Undirected,1
34,51,Undirected,1
34,75,Undirected,1
53,68,Undirected,1
51,53,Undirected,1
53,75,Undirected,1
58,68,Undirected,2
51,68,Undirected,1
68,75,Undirected,1
33,76,Undirected,1
8,76,Undirected,2
49,76,Undirected,2
40,76,Undirected,1
2,74,Undirected,3
60,72,Undirected,3
12,72,Undirected,1
49,72,Undirected,5
72,74,Undirected,5
42,51,Undirected,2
42,49,Undirected,8
22,71,Undirected,1
6,71,Undirected,1
24,71,Undirected,1
11,71,Undirected,1
15,71,Undirected,1
27,71,Undirected,1
14,71,Undirected,1
19,71,Undirected,1
38,86,Undirected,1
38,81,Undirected,1
38,87,Undirected,1
21,86,Undirected,1
4,86,Undirected,1
81,86,Undirected,1
86,87,Undirected,1
22,86,Undirected,1
6,86,Undirected,1
7,86,Undirected,1
23,86,Undirected,1
13,86,Undirected,1
14,86,Undirected,1
15,86,Undirected,1
54,86,Undirected,1
25,86,Undirected,1
55,86,Undirected,1
49,86,Undirected,1
62,86,Undirected,1
11,86,Undirected,1
80,86,Undirected,1
56,86,Undirected,1
19,86,Undirected,1
30,86,Undirected,1
43,86,Undirected,1
37,86,Undirected,1
21,87,Undirected,1
4,81,Undirected,1
4,87,Undirected,1
81,87,Undirected,1
22,81,Undirected,1
25,81,Undirected,1
49,81,Undirected,1
11,81,Undirected,1
80,81,Undirected,1
56,81,Undirected,1
30,81,Undirected,1
43,81,Undirected,1
22,87,Undirected,1
6,87,Undirected,1
7,87,Undirected,1
23,87,Undirected,1
13,87,Undirected,1
14,87,Undirected,1
15,87,Undirected,1
54,87,Undirected,1
25,87,Undirected,1
55,87,Undirected,1
49,87,Undirected,1
62,87,Undirected,1
11,87,Undirected,1
80,87,Undirected,1
56,87,Undirected,1
19,87,Undirected,1
30,87,Undirected,1
43,87,Undirected,1
37,87,Undirected,1
22,80,Undirected,2
15,80,Undirected,2
49,80,Undirected,1
11,80,Undirected,2
43,56,Undirected,3
47,67,Undirected,3
47,49,Undirected,2
47,77,Undirected,1
39,77,Undirected,1
49,77,Undirected,1
11,74,Undirected,3
62,68,Undirected,1
36,68,Undirected,1
37,68,Undirected,1
42,60,Undirected,5
41,60,Undirected,4
22,85,Undirected,3
24,85,Undirected,1
32,85,Undirected,2
54,60,Undirected,3
60,85,Undirected,1
52,85,Undirected,2
43,85,Undirected,3
36,58,Undirected,1
38,88,Undirected,1
3,88,Undirected,1
4,88,Undirected,1
21,88,Undirected,1
22,88,Undirected,1
23,88,Undirected,1
32,88,Undirected,1
7,88,Undirected,1
24,88,Undirected,1
40,47,Undirected,2
47,88,Undirected,1
17,47,Undirected,1
60,88,Undirected,1
6,88,Undirected,1
11,88,Undirected,1
40,88,Undirected,1
14,88,Undirected,1
15,88,Undirected,1
8,88,Undirected,1
27,88,Undirected,1
13,88,Undirected,1
67,88,Undirected,1
19,88,Undirected,1
43,88,Undirected,1
30,88,Undirected,1
17,88,Undirected,1
3,73,Undirected,2
23,73,Undirected,2
6,73,Undirected,2
11,73,Undirected,1
41,73,Undirected,1
39,73,Undirected,2
62,73,Undirected,1
19,73,Undirected,1
43,73,Undirected,2
30,73,Undirected,2
58,74,Undirected,4
17,51,Undirected,2
51,74,Undirected,1
17,76,Undirected,1
74,76,Undirected,1
2,40,Undirected,2
53,60,Undirected,2
41,53,Undirected,1
55,60,Undirected,3
49,63,Undirected,3
55,74,Undirected,3
54,74,Undirected,2
63,74,Undirected,3
31,73,Undirected,1
34,73,Undirected,1
60,73,Undirected,1
67,73,Undirected,1
12,73,Undirected,1
1,77,Undirected,1
31,77,Undirected,1
11,75,Undirected,2
75,77,Undirected,1
37,77,Undirected,1
2,62,Undirected,2
38,85,Undirected,1
4,85,Undirected,1
2,47,Undirected,1
2,85,Undirected,1
